#
# Engine name: 
# Fri Jan 9 13:12:09 2026
#
# Lc= 227.48122 mm	 Rc=  95.82054 mm
# R1=  42.79911 mm	 R2= 229.72193 mm
# bc=  30.00000   	 Rt=  28.53274 mm
# Le= 177.87398 mm	 Re=  74.40579 mm
# Rn=  10.89951 mm
# c1=  21.83236   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  302.87728	   53.32572
  303.28264	   53.43793
  303.68799	   53.55000
  304.09335	   53.66175
  304.49870	   53.77328
  304.90406	   53.88457
  305.30941	   53.99556
  305.71477	   54.10638
  306.12013	   54.21684
  306.52548	   54.32720
  306.93084	   54.43712
  307.33619	   54.54702
  307.74155	   54.65641
  308.14690	   54.76580
  308.55226	   54.87470
  308.95761	   54.98356
  309.36297	   55.09201
  309.76832	   55.20033
  310.17368	   55.30833
  310.57903	   55.41612
  310.98439	   55.52366
  311.38974	   55.63093
  311.79510	   55.73801
  312.20045	   55.84475
  312.60581	   55.95139
  313.01116	   56.05760
  313.41652	   56.16379
  313.82187	   56.26947
  314.22723	   56.37515
  314.63258	   56.48037
  315.03794	   56.58552
  315.44329	   56.69029
  315.84865	   56.79492
  316.25401	   56.89925
  316.65936	   57.00336
  317.06472	   57.10725
  317.47007	   57.21083
  317.87543	   57.31428
  318.28078	   57.41733
  318.68614	   57.52035
  319.09149	   57.62288
  319.49685	   57.72542
  319.90220	   57.82747
  320.30756	   57.92949
  320.71291	   58.03111
  321.11827	   58.13261
  321.52362	   58.23379
  321.92898	   58.33477
  322.33433	   58.43553
  322.73969	   58.53599
  323.14504	   58.63632
  323.55040	   58.73626
  323.95575	   58.83616
  324.36111	   58.93558
  324.76646	   59.03501
  325.17182	   59.13397
  325.57717	   59.23287
  325.98253	   59.33141
  326.38789	   59.42980
  326.79324	   59.52792
  327.19860	   59.62580
  327.60395	   59.72349
  328.00931	   59.82086
  328.41466	   59.91813
  328.82002	   60.01499
  329.22537	   60.11184
  329.63073	   60.20819
  330.03608	   60.30453
  330.44144	   60.40046
  330.84679	   60.49630
  331.25215	   60.59181
  331.65750	   60.68714
  332.06286	   60.78224
  332.46821	   60.87706
  332.87357	   60.97175
  333.27892	   61.06606
  333.68428	   61.16034
  334.08963	   61.25415
  334.49499	   61.34795
  334.90034	   61.44132
  335.30570	   61.53461
  335.71105	   61.62758
  336.11641	   61.72037
  336.52177	   61.81293
  336.92712	   61.90521
  337.33248	   61.99737
  337.73783	   62.08915
  338.14319	   62.18091
  338.54854	   62.27219
  338.95390	   62.36347
  339.35925	   62.45433
  339.76461	   62.54510
  340.16996	   62.63556
  340.57532	   62.72584
  340.98067	   62.81590
  341.38603	   62.90568
  341.79138	   62.99535
  342.19674	   63.08462
  342.60209	   63.17390
  343.00745	   63.26268
  343.41280	   63.35146
  343.81816	   63.43984
  344.22351	   63.52812
  344.62887	   63.61612
  345.03422	   63.70390
  345.43958	   63.79151
  345.84493	   63.87880
  346.25029	   63.96602
  346.65564	   64.05282
  347.06100	   64.13961
  347.46636	   64.22595
  347.87171	   64.31225
  348.27707	   64.39821
  348.68242	   64.48402
  349.08778	   64.56959
  349.49313	   64.65491
  349.89849	   64.74010
  350.30384	   64.82492
  350.70920	   64.90974
  351.11455	   64.99407
  351.51991	   65.07840
  351.92526	   65.16235
  352.33062	   65.24619
  352.73597	   65.32977
  353.14133	   65.41312
  353.54668	   65.49632
  353.95204	   65.57918
  354.35739	   65.66201
  354.76275	   65.74438
  355.16810	   65.82676
  355.57346	   65.90873
  355.97881	   65.99062
  356.38417	   66.07222
  356.78952	   66.15362
  357.19488	   66.23485
  357.60024	   66.31577
  358.00559	   66.39663
  358.41095	   66.47706
  358.81630	   66.55750
  359.22166	   66.63751
  359.62701	   66.71746
  360.03237	   66.79711
  360.43772	   66.87658
  360.84308	   66.95587
  361.24843	   67.03485
  361.65379	   67.11378
  362.05914	   67.19229
  362.46450	   67.27079
  362.86985	   67.34888
  363.27521	   67.42690
  363.68056	   67.50463
  364.08592	   67.58217
  364.49127	   67.65955
  364.89663	   67.73661
  365.30198	   67.81364
  365.70734	   67.89022
  366.11269	   67.96681
  366.51805	   68.04300
  366.92340	   68.11911
  367.32876	   68.19495
  367.73412	   68.27058
  368.13947	   68.34607
  368.54483	   68.42122
  368.95018	   68.49636
  369.35554	   68.57104
  369.76089	   68.64572
  370.16625	   68.72004
  370.57160	   68.79425
  370.97696	   68.86822
  371.38231	   68.94196
  371.78767	   69.01558
  372.19302	   69.08884
  372.59838	   69.16211
  373.00373	   69.23492
  373.40909	   69.30771
  373.81444	   69.38018
  374.21980	   69.45250
  374.62515	   69.52463
  375.03051	   69.59648
  375.43586	   69.66827
  375.84122	   69.73965
  376.24657	   69.81102
  376.65193	   69.88201
  377.05728	   69.95292
  377.46264	   70.02357
  377.86800	   70.09401
  378.27335	   70.16433
  378.67871	   70.23430
  379.08406	   70.30428
  379.48942	   70.37379
  379.89477	   70.44330
  380.30013	   70.51249
  380.70548	   70.58153
  381.11084	   70.65038
  381.51619	   70.71896
  381.92155	   70.78749
  382.32690	   70.85560
  382.73226	   70.92371
  383.13761	   70.99145
  383.54297	   71.05910
  383.94832	   71.12651
  384.35368	   71.19369
  384.75903	   71.26078
  385.16439	   71.32750
  385.56974	   71.39423
  385.97510	   71.46053
  386.38045	   71.52679
  386.78581	   71.59277
  387.19116	   71.65857
  387.59652	   71.72423
  388.00187	   71.78957
  388.40723	   71.85491
  388.81259	   71.91979
  389.21794	   71.98468
  389.62330	   72.04924
  390.02865	   72.11366
  390.43401	   72.17791
  390.83936	   72.24188
  391.24472	   72.30581
  391.65007	   72.36932
  392.05543	   72.43283
  392.46078	   72.49599
  392.86614	   72.55905
  393.27149	   72.62190
  393.67685	   72.68450
  394.08220	   72.74703
  394.48756	   72.80918
  394.89291	   72.87132
  395.29827	   72.93310
  395.70362	   72.99479
  396.10898	   73.05626
  396.51433	   73.11749
  396.91969	   73.17865
  397.32504	   73.23944
  397.73040	   73.30022
  398.13575	   73.36063
  398.54111	   73.42096
  398.94647	   73.48106
  399.35182	   73.54094
  399.75718	   73.60073
  400.16253	   73.66017
  400.56789	   73.71960
  400.97324	   73.77864
  401.37860	   73.83763
  401.78395	   73.89637
  402.18931	   73.95490
  402.59466	   74.01335
  403.00002	   74.07143
  403.40537	   74.12952
  403.81073	   74.18722
  404.21608	   74.24486
  404.62144	   74.30226
  405.02679	   74.35945
  405.35520	   74.40579
